#,Development Name,Address,Property Website,Management Company,Public Phone #
1,101 San Fernando,"101 E.San Fernando St, Ste 100",http://www.essexapartmenthomes.com/apartment/101-san-fernando-san-jose-ca-5d0248854567,Essex Properties,(866) 700-0404
2,127 and 110 #22 Roundtable - NSP,"110, bldg 22, 127 Roundtable Dr.",http://streetsteam.org/,Downtown Streets Team,(408) 899-7350
3,1713 Ross,1713 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850
4,1726 Ross,1726 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850
5,1731 Ross,1731 Ross Circle,http://www.abodeservices.org/,Abode Services,(408) 941-1850
6,Almaden 1930,1930 Almaden,http://www.kdfcommunities.com/kdfcommunities.html,N/A,(408) 264-1930
7,Almaden Family Apartments,1501 Almaden Road,http://www.winncompanies.com/san-jose/almaden/,WinnResidential,(408) 275-1922
8,Almaden Garden Apartments,"947 Branham Lane, #C",http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 323-8020
9,Almaden Lake Apartments,978 Almaden Lake Drive and Winfield Boulevard,http://www.bridgehousing.com/properties/family/santa-clara/san-jose/almaden-lake,Bridge Property Management Comapny,(408) 323-8020
10,Almaden Lake Village,1045 Coleman Road,http://www.almadenlakevillage.com/,UDR,(866) 491-6640
11,Anton La Moraga Apartments,5822 Charlotte Drive,http://www.antonlamoraga.com/,St. Anton Multifamily,(408) 226-5822
12,Arbor Apartments,1582 Kooser Road,http://www.dkdproperties.com/south%20bay.htm,DKD Property Management Company,(408) 448-1288
13,Arbor Park Community,899 North King Road,http://property.midpen-housing.org/PropertySearch,MidPen Housing Corporation,(408) 272-1588
14,Archer Studios,98 Archer Street,http://charitieshousing.org/archer-street/,Charities Housing Management,(408) 550-8300
15,Art Ark,1058 S.5th Street,http://www.artarkapts.com/,EAH Housing Inc.,(877) 259-1439
16,Ascent Apartments,5805 Charlotte Drive,http://www.ascentaffordable.com/,N/A,(408) 225-7200
17,Baker Park,4748 Campbell Avenue and Fallbrook Drive,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 379-8440
18,Barker,3825 Barker Drive,http://www.abodeservices.org/,Abode Services,(408) 941-1850
19,Bella Castello,570 Keyes St,http://www.fpiliving.com/Apartments/module/properties,FPI Management Inc.,(408) 289-1122
20,Bendorf Drive Apts.,282 Danze Drive,http://jsco.net/property/villa-san-pedro/,John Stewart Company,(408) 362-9233
21,Betty Anne Gardens,945 Lundy Ave,http://www.bettyanngardens.org/,"EAH, Inc.",(408) 254-4540
22,Blossom River,1000 Blossom River Way,http://jsco.net/property/blossom-river-apartments/,John Stewart Company,(408) 979-9442
23,Branham,1579 Branham Lane,http://www.abodeservices.org/,Abode Services,(408) 941-1850
24,Bridgeport Apartments,3678 Bridgeport Court,http://www.communityhousingsv.org,C.H.D. PMS,(408) 279-7654
25,Brookwood Terrace Family Apartments,1346 E San Antonio St,http://www.fpiliving.com/san-jose-folsom/brookwood-terrace-multi-family-apartment-management/,FPI Management Inc.,(408) 279-5700
26,Burning Tree,239 Burning Tree,http://www.abodeservices.org/,Abode Services,(408) 941-1850
27,Calvin,3456 Calvin Avenue,http://www.abodeservices.org/,Abode Services,(408) 941-1850
28,Canoas Terrace,420 Sands Drive,http://www.fpiliving.com/san-jose-folsom/canoas-terrace-multi-family-apartment-management/,"FPI Management, Inc.",(408) 448-1592
29,Cape Cod Court,3680 Cape Cod Court,,NOI Holdings 20 LP,
30,Capitol Manor,175 N. Capitol Avenue,http://www.capitolmanor.net/,ALTON MANAGEMENT CORPORATION,(408) 251-9132
31,Casa Real,2570 Fontaine Rd.,No website,KDF Communities LLC,(408) 238-0841
32,Catalonia,2036 Evans Lane,http://www.edenhousing.org/property/catalonia,Eden Housing Property Management,(408) 264-0784
33,Chai House II,814 St Elizabeth Dr,http://jsco.net/property/chai-house-i-ii/,John Stewart Company,(408) 947-1818
34,Charlotte Drive Family Apartments,5600 Charlotte Drive,No website,N/A,(408) 226-5822
35,Charter Court Apartments,2570 Fontaine Rd.,http://www.mynewplace.com/apartment/charter-court-apartments-san-jose-ca-0gw207628635#property_details,"Charter Court SJC LP, a California limited parthership, Owner",(408) 241-1146
36,Cherry Creek,2020 Southwest Expressway,http://www.mynewplace.com/apartment/cherry-creek-san-jose-ca-80c000143566,"Charter Court SJC LP, a California limited parthership, Owner",(408) 287-6274
37,Cinnabar Commons,875 Cinnabar St (Stockton Ave@Lenzen Ave),No website,"BRIDGE TOWER, LLC",(408) 289-1010
38,Clarendon,7213 Clarendon St.,http://jsco.net/property/villa-garcia/,John Stewart Company,(408) 366-2114
39,Colonnade,201 S 4th Street,http://www.gkind.com/pages/san-jose-and-santa-cruz#Colonnade,"G&K Management Company, Inc.",(877) 254-7982
40,Corde Terra Village Family,2600 Corde Terra Circle,http://www.roemcorp.com/projects/corde-terra-village/,FPI Management Inc.,(408) 298-9988
41,Cornerstone,875 N.10th Street,http://www.cornerstoneatjapantown.com/,EAH Housing Inc.,(877) 223-5923
42,Country Hills Apartments,124 Rancho Drive,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 578-8441
43,Courtyard Plaza Apartments,2950 Story Road,http://www.affordablesearch.com/apartments/Listing.aspx?id=48,FPI Management Inc.,(408)Â 929-4221
44,Curtner,1824 Curtner Avenue,http://www.abodeservices.org,Abode Services,(408) 941-1850
45,David Avenue Apartments,3068 David Avenue,No website,KDF Communities LLC,(408) 374-0411
46,Delmas Park,350 Bird Avenue,http://www.delmasparkapts.com/,EAH Housing Inc.,(877) 276-7171
47,Dent Commons,5363 Dent Ave,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 267-4230
48,Don de Dios,987 Fair Avenue,http://www.eahhousing.org/pages/apartmentdetail/76,"EAH Housing, Inc.",(408) 288-7770
49,Donna,1794 Donna Lane,http://www.abodeservices.org/,Abode Services,(408) 941-1850
50,Donner Lofts,156 E. St. John St. at 4th,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(855) 278-7669
51,Eden Palms,5398 Monterey Road,http://www.edenhousing.org/property-search,"Eden Housing Management, Inc.",(408) 227-5684
52,El Rancho Verde,300 Checkers Drive,http://www.related.com/ourcompany/properties/49/El-Rancho-Verde-Apartments/,Clark Realty Management,(408) 272-0356
53,Elena Gardens,1900 Lakewood Drive,http://www.eahhousing.org/pages/apartmentdetail/81,EAH Housing Inc.,(408) 262-6991
54,Emmanuel Terrace,460 Francis Drive,No website,Emmanuel Terrace Inc.,(408) 923-8280
55,Enclave,4349 RENAISSANCE DR,http://www.enclaveapartmenthomes.com,Berkshire,(408) 428-9156
56,Fairway Glen,488 Toyon Ave,http://www.fairwayglen.com/,Prime Group,(408) 926-3100
57,Fairways at San Antonio,305 San Antonio Court,http://affirmedhousing.com/projects/fairways/index.html,"Solari Enterprises, Inc.",(408) 923-8424
58,Ford Road Plaza,215 Ford Road,http://www.edenhousing.org/property-search,Eden Housing Property Management,(510) 582-1460
59,Fountain Plaza,190 Ryland Street,No website,Legacy Partners,(408) 288-9100
60,Foxchase Drive Apartments,1070 Foxchase Drive,http://www.kcmapts.com/foxchase,Greystar,(408) 723-0600
61,Foxdale Manor,1250 Foxdale Loop,No website,KDF Communities LLC,(408) 251-1142
62,Fuji Towers,690 North 5th Street,http://www.japantownsanjose.org/fujitowers.html,Fuji Towers,(408) 275-8989
63,Giovanni,85 S. 5th Street,http://jsco.net/property/giovanni-center/,John Stewart Company,(408) 288-7436
64,Gish Apartments,35 E. Gish Rd,http://jsco.net/property/gish-apartments/,John Stewart Company,(408) 436-8972
65,Helzer Court,2960 MacIntyre Drive,http://www.fpiliving.com/san-jose-folsom/helzer-court-multi-family-apartment-management/,FPI Management Inc.,(408) 264-3237
66,Hillsdale Townhomes,1626-1656 Hillsdale Ave,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 267-4230
67,Hillview Glen,3220 Pearl Avenue,http://www.edenhousing.org/property/hillview-glen-apartments,"Eden Housing Management, Inc.",(408) 723-1644
68,Huff Gardens,3021 Huff Avenue,http://www.fpiliving.com/san-jose-folsom/huff-gardens-multi-family-apartment-management/,FPI Management Inc.,(408) 557-8699
69,Italian Gardens,1524 Almaden Road,http://property.midpen-housing.org/PropertySearch,MidPen Property Management Corporation,(408) 293-9118
70,Julian Gardens,319 North 8th Street,http://jsco.net/property/julian-gardens/,John Stewart Company,(408) 295-8440
71,Kings Crossing,678 North King Road,http://charitieshousing.org/kings-crossing-apartments/,Charities Housing Management,(408) 564-5016
